Type,College,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New frosh, Total ," 3,444 "," 3,604 "," 3,436 "," 3,603 "," 4,182 "," 3,952 "," 4,248 "," 4,281 "," 4,566 "," 5,095 "," 4,982 "," 5,391 "," 5,571 "," 5,138 "," 5,007 "," 5,617 "," 5,555 "," 5,833 "," 5,519 "," 5,160 "," 5,663 "," 5,469 "," 5,844 "," 5,869 "," 6,208 "," 6,439 "," 6,570 "," 6,701 "," 7,113 "," 6,326 "
Transfers, Total ," 1,759 "," 1,455 "," 1,755 "," 1,720 "," 1,431 "," 1,459 "," 1,491 "," 1,326 "," 1,436 "," 1,350 "," 1,386 "," 1,435 "," 1,474 "," 1,433 "," 1,301 "," 1,241 "," 1,297 "," 1,318 "," 1,358 "," 1,167 "," 1,300 "," 1,195 "," 1,292 "," 1,312 "," 1,119 "," 1,203 "," 1,440 "," 1,622 "," 1,555 "," 1,409 "
IUT's, Total , 761 , 862 , 722 , 774 , 687 , 820 , 841 , 880 , 857 , 936 , 810 , 935 , 830 , 831 , 843 , 825 , 774 , 785 , 802 , 820 , 843 , 845 , 783 , 875 , 936 ," 1,320 "," 1,421 "," 1,876 "," 1,555 "," 1,772 "
Contin/readm, Total ," 14,488 "," 14,104 "," 14,080 "," 13,631 "," 13,322 "," 13,594 "," 13,849 "," 14,089 "," 14,344 "," 14,302 "," 15,046 "," 15,693 "," 16,665 "," 17,308 "," 17,072 "," 16,801 "," 16,847 "," 17,144 "," 17,729 "," 17,659 "," 16,951 "," 16,683 "," 16,500 "," 16,762 "," 16,012 "," 17,471 "," 18,234 "," 18,557 "," 19,401 "," 19,471 "
New to campus,," 5,203 "," 5,059 "," 5,191 "," 5,323 "," 5,613 "," 5,411 "," 5,739 "," 5,607 "," 6,002 "," 6,445 "," 6,368 "," 6,826 "," 7,045 "," 6,571 "," 6,308 "," 6,858 "," 6,852 "," 7,151 "," 6,877 "," 6,327 "," 6,963 "," 6,664 "," 7,136 "," 7,181 "," 7,327 "," 7,642 "," 8,010 "," 8,323 "," 8,668 "," 7,735 "
New to college,," 5,964 "," 5,921 "," 5,913 "," 6,097 "," 6,300 "," 6,231 "," 6,580 "," 6,487 "," 6,859 "," 7,381 "," 7,178 "," 7,761 "," 7,875 "," 7,402 "," 7,151 "," 7,683 "," 7,626 "," 7,936 "," 7,679 "," 7,147 "," 7,806 "," 7,509 "," 7,919 "," 8,056 "," 8,263 "," 8,962 "," 9,431 "," 10,199 "," 10,223 "," 9,507 "
Total,," 20,452 "," 20,025 "," 19,993 "," 19,728 "," 19,622 "," 19,825 "," 20,429 "," 20,576 "," 21,203 "," 21,683 "," 22,224 "," 23,454 "," 24,540 "," 24,710 "," 24,223 "," 24,484 "," 24,473 "," 25,080 "," 25,408 "," 24,806 "," 24,757 "," 24,192 "," 24,419 "," 24,818 "," 24,275 "," 26,433 "," 27,665 "," 28,756 "," 29,624 "," 28,978 "
Cum GPA of IUT's,,2.96,2.98,3.01,2.99,2.99,3.02,2.97,3.00,3.07,3.10,3.11,3.17,3.16,3.19,3.20,3.17,3.20,3.15,3.11,3.09,3.10,3.09,3.06,3.08,3.06,3.09,3.13,3.10,3.21,3.24
